alpha,auc_roc,f1,mcc,n_estimators,remove,smell
0.8024230605386777,0.9424828731357875,0.9264853044019179,0.873882565501903,10,False,blob
0.8187745381378,0.9548254695521883,0.9408080065871159,0.8992674543012302,20,False,blob
0.8352796173542982,0.9585155064525576,0.9465202574184243,0.9095025821102207,30,False,blob
0.8394713843459332,0.9619401639868042,0.9494611181424664,0.914786221422782,40,False,blob
0.8396117703683628,0.943237237231509,0.9345166075371354,0.8887878277125715,50,False,blob
0.8708975451316546,0.9691384064267109,0.9584705744819834,0.9298162543805641,60,False,blob
0.8490951802904058,0.9603605249027419,0.9494055112975738,0.9147718263616768,70,False,blob
0.8490951802904058,0.9603605249027419,0.9494055112975738,0.9147718263616768,80,False,blob
0.8590988066467193,0.9588226598213256,0.9492931301677043,0.9145759105595141,90,False,blob
0.8590988066467193,0.9588226598213256,0.9492931301677043,0.9145759105595141,100,False,blob
0.8569057518595032,0.9672516139738808,0.9556493858706763,0.9247649983228332,110,False,blob
0.8687851634156536,0.9572847947399091,0.9494273434759017,0.914237584200955,120,False,blob
0.8687851634156536,0.9572847947399091,0.9494273434759017,0.914237584200955,130,False,blob
0.8687851634156536,0.9572847947399091,0.9494273434759017,0.914237584200955,140,False,blob
0.8627663207982562,0.9622890913582177,0.9525958371133418,0.9193290992252895,150,False,blob
0.8367406082754539,0.9600951455366196,0.9466122285739802,0.9097787167630523,160,False,blob
0.8394713843459332,0.9619401639868042,0.9494611181424664,0.914786221422782,170,False,blob
0.8394713843459332,0.9619401639868042,0.9494611181424664,0.914786221422782,180,False,blob
0.8367406082754539,0.9600951455366196,0.9466122285739802,0.9097787167630523,190,False,blob
0.8325538405143882,0.9566704880023729,0.9436715209138411,0.9044805173204387,200,False,blob
0.8737603088368584,0.9709834248768955,0.9613377927651375,0.9348475527395003,210,False,blob
0.8700696610937969,0.9675587673426489,0.9581905056668145,0.9297877793434985,220,False,blob
0.8700696610937969,0.9675587673426489,0.9581905056668145,0.9297877793434985,230,False,blob
0.8737603088368584,0.9709834248768955,0.9613377927651375,0.9348475527395003,240,False,blob
0.8737603088368584,0.9709834248768955,0.9613377927651375,0.9348475527395003,250,False,blob
0.8811007991510857,0.9778327399453887,0.9675787067136142,0.9450016780508248,260,False,blob
0.8811007991510857,0.9778327399453887,0.9675787067136142,0.9450016780508248,270,False,blob
0.8811007991510857,0.9778327399453887,0.9675787067136142,0.9450016780508248,280,False,blob
0.8811007991510857,0.9778327399453887,0.9675787067136142,0.9450016780508248,290,False,blob
0.8811007991510857,0.9778327399453887,0.9675787067136142,0.9450016780508248,300,False,blob
0.6575789386417981,0.8830644081319654,0.8583655879895831,0.7746960798836273,10,False,spaghetti-code
0.6690659391596273,0.8838683761912683,0.861214171640396,0.7802012125604133,20,False,spaghetti-code
0.7302904111157891,0.8949963560652835,0.8759081506525308,0.8017917640599638,30,False,spaghetti-code
0.6983929871395917,0.8726215161775664,0.8537222332749489,0.7718248697504613,40,False,spaghetti-code
0.7104152779287637,0.8813992051476509,0.8639535545333928,0.787755126342295,50,False,spaghetti-code
0.7323997312806644,0.8803406785283672,0.8638516501593488,0.7890392992228117,60,False,spaghetti-code
0.7323997312806644,0.8803406785283672,0.8638516501593488,0.7890392992228117,70,False,spaghetti-code
0.7323997312806644,0.8803406785283672,0.8638516501593488,0.7890392992228117,80,False,spaghetti-code
0.7350774934402937,0.8824958509421602,0.8669526524415325,0.7950134419279423,90,False,spaghetti-code
0.7350774934402937,0.8824958509421602,0.8669526524415325,0.7950134419279423,100,False,spaghetti-code
0.726864247825795,0.8847104634257966,0.8678618053641957,0.7926331210973295,110,False,spaghetti-code
0.7511063139426537,0.8856119907301683,0.8712604288779139,0.7984735830668843,120,False,spaghetti-code
0.7511063139426537,0.8856119907301683,0.8712604288779139,0.7984735830668843,130,False,spaghetti-code
0.7511063139426537,0.8856119907301683,0.8712604288779139,0.7984735830668843,140,False,spaghetti-code
0.7439182837513214,0.888923249008314,0.8744732807322136,0.8036441067560525,150,False,spaghetti-code
0.7465979764327713,0.8823007324520227,0.867702096813166,0.7934800173295621,160,False,spaghetti-code
0.7656037002480787,0.8877671631439614,0.8746514306653919,0.8042013594997505,170,False,spaghetti-code
0.7493768858634648,0.8844559048658157,0.8707924672651106,0.7994166496584525,180,False,spaghetti-code
0.7511063139426537,0.8856119907301683,0.8712604288779139,0.7984735830668843,190,False,spaghetti-code
0.7511063139426537,0.8856119907301683,0.8712604288779139,0.7984735830668843,200,False,spaghetti-code
0.766796483290968,0.8887662496934021,0.8773248800591913,0.811231191404887,210,False,spaghetti-code
0.766796483290968,0.8887662496934021,0.8773248800591913,0.811231191404887,220,False,spaghetti-code
0.766796483290968,0.8887662496934021,0.8773248800591913,0.811231191404887,230,False,spaghetti-code
0.766796483290968,0.8887662496934021,0.8773248800591913,0.811231191404887,240,False,spaghetti-code
0.7813107495063502,0.8908238628621264,0.8809347034978863,0.8163627522021184,250,False,spaghetti-code
0.7782592510283924,0.8885711312032643,0.8779741894367258,0.8097750055403032,260,False,spaghetti-code
0.7782592510283924,0.8885711312032643,0.8779741894367258,0.8097750055403032,270,False,spaghetti-code
0.7856251600444447,0.8940375618952031,0.8845940395750315,0.8206929282943034,280,False,spaghetti-code
0.7782592510283924,0.8885711312032643,0.8779741894367258,0.8097750055403032,290,False,spaghetti-code
0.7782592510283924,0.8885711312032643,0.8779741894367258,0.8097750055403032,300,False,spaghetti-code
0.8183338388608615,0.9129425584614265,0.9019744513400174,0.8356771489612055,10,False,complex-class
