Unnamed: 0,acc,algo,alpha_ordinal,auc_roc,classif_w,corr,evaluator,f1,k_ranker,kappa,mae,mcc,merge,mse,multi,p,param,path,r,r2,setname,smell,spearman,strat,tau
3,0.862619808,None,0.715276322,0.880752236,None,0,AutoSpearman_Additive,0.85812532,0,0.770570888,0.178913738,0.774380887,1,0.261980831,0,0.860072305,90,res_spaghetti-code_None__merge_AutoSpearman_Add_None_None_0_90 _revised4.json,0.862619808,0.378065329,all,spaghetti-code,0.717983956,None,0.704384419
5,0.900293255,None,0.808573102,0.912948176,None,0,AutoSpearman_Additive,0.900219297,0,0.827390612,0.120234604,0.828188037,1,0.161290323,0,0.902447712,100,res_blob_None__merge_AutoSpearman_Add_None_None_0_100 _revised4.json,0.900293255,0.611874509,all,blob,0.808801233,None,0.797742906
9,0.859598854,None,0.663963553,0.876644266,None,0,AutoSpearman_Additive,0.853358086,0,0.759489754,0.189111748,0.763990825,1,0.286532951,0,0.855774422,150,res_complex-class_None__merge_AutoSpearman_Add_None_None_0_150 _revised4.json,0.859598854,0.290650407,all,complex-class,0.667553028,None,0.656668237
18,0.668693009,None,0.464773117,0.711170463,None,0,AutoSpearman_Additive,0.649007957,0,0.447092925,0.373860182,0.479195789,1,0.458966565,0,0.696220194,200,res_shotgun-surgery_None__merge_AutoSpearman_Add_None_None_0_200 _revised4.json,0.668693009,-0.432579734,all,shotgun-surgery,0.479216001,None,0.457283464
