Unnamed: 0,acc,algo,alpha_ordinal,auc_roc,classif_w,corr,evaluator,f1,k_ranker,kappa,mae,mcc,merge,mse,multi,p,param,path,r,r2,setname,smell,spearman,strat,tau
2,0.894428152,None,0.800069136,0.906098861,None,0,AutoSpearman,0.894231402,0,0.816587232,0.126099707,0.817378211,1,0.167155425,0,0.896143214,140,./revised_nasac/prediction_all/res_blob_None__merge_AutoSpearman_None_None_0_140 _revised4.json,0.894428152,0.592686505,all,blob,0.800090162,None,0.788380016
4,0.865329513,None,0.673159487,0.883078361,None,0,AutoSpearman,0.860436097,0,0.769953578,0.183381089,0.773611092,1,0.280802292,0,0.862679485,100,./revised_nasac/prediction_all/res_complex-class_None__merge_AutoSpearman_None_None_0_100 _revised4.json,0.865329513,0.314671583,all,complex-class,0.675408465,None,0.665390087
10,0.722044728,None,0.481246296,0.747676257,None,0,AutoSpearman,0.700291548,0,0.51967615,0.329073482,0.536806473,1,0.431309904,0,0.709521473,20,./revised_nasac/prediction_all/res_spaghetti-code_None__merge_AutoSpearman_None_None_0_20 _revised4.json,0.722044728,-0.259538572,all,spaghetti-code,0.491268227,None,0.468407467
14,0.674772036,None,0.462258976,0.719116576,None,0,AutoSpearman,0.65704974,0,0.46053176,0.373860182,0.497412722,1,0.47112462,0,0.694619641,80,./revised_nasac/prediction_all/res_shotgun-surgery_None__merge_AutoSpearman_None_None_0_80 _revised4.json,0.674772036,-0.389358108,all,shotgun-surgery,0.47354788,None,0.452152664
