Unnamed: 0,acc,algo,alpha_ordinal,auc_roc,classif_w,corr,evaluator,f1,k_ranker,kappa,mae,mcc,merge,mse,multi,p,param,path,r,r2,setname,smell,spearman,strat,tau
0,0.865329513,None,0.682987353,0.882788786,None,0,AutoSpearman_Reductive,0.860660611,0,0.770208176,0.180515759,0.773238304,1,0.272206304,0,0.861617029,120,res_complex-class_None__merge_AutoSpearman_Priority_None_None_0_120 _revised4.json,0.865329513,0.340225265,all,complex-class,0.685167646,None,0.674408832
1,0.88856305,None,0.803467105,0.900745637,None,0,AutoSpearman_Reductive,0.888793834,0,0.806723942,0.129032258,0.807673197,1,0.164222874,0,0.891805606,30,res_blob_None__merge_AutoSpearman_Priority_None_None_0_30 _revised4.json,0.88856305,0.601652134,all,blob,0.804090675,None,0.79112729
8,0.656534954,None,0.442108197,0.704593612,None,0,AutoSpearman_Reductive,0.638417082,0,0.430673813,0.392097264,0.455901779,1,0.489361702,0,0.674091016,60,res_shotgun-surgery_None__merge_AutoSpearman_Priority_None_None_0_60 _revised4.json,0.656534954,-0.438905792,all,shotgun-surgery,0.453341581,None,0.431212435
12,0.853035144,None,0.703541261,0.871974547,None,0,AutoSpearman_Reductive,0.848142135,0,0.754178689,0.188498403,0.758383978,1,0.271565495,0,0.850488709,80,res_spaghetti-code_None__merge_AutoSpearman_Priority_None_None_0_80 _revised4.json,0.853035144,0.349765373,all,spaghetti-code,0.706436752,None,0.691581359
