smell,type,value,head,fea_num,features
blob,entropy,0.9875232210245775,all,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.6666666666666666,coupling,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.0,changehistory,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.0,cohesion,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,1.0,size,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.23076923076923078,complexity,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.0,production,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
blob,agreement,0.0,testing,2,"{'RFC': 120, 'C3': 88, 'LOC': 84, 'CBO': 32, 'WMC': 25, 'NOCS_package': 2, 'number_abstract_methods': 1, 'NOII_type': 1, 'MPC': 1, 'WOC_type': 1, 'num_final_static_attributes': 1}"
shotgun-surgery,agreement,0.10122699386503067,all,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,entropy,0.893211092872643,all,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.06951871657754011,coupling,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,1.0,changehistory,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.05714285714285714,cohesion,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.23076923076923078,size,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.056338028169014086,complexity,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.0,production,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
shotgun-surgery,agreement,0.0,testing,2,"{'Avg-commit-size': 283, 'persistance': 107, 'is_test': 41, 'avg.dev.scattering': 23, 'NOCS_package': 20, 'TCC_type': 19, 'LOCNAMM_type': 12, 'MPC': 9, 'number_standard_design_methods': 6, 'CFNAMM_type': 6, 'number_constructor_NotDefaultConstructor_methods': 6, 'Readability': 5, 'CBO': 5, 'NOI_package': 5, 'WMC': 5, 'number_private_visibility_methods': 3, 'num_static_attributes': 3, 'WOC_type': 3, 'NOPA_type': 3, 'number_abstract_methods': 2, 'NOMNAMM_package': 2, 'num_not_final_not_static_attributes': 2, 'WMCNAMM_type': 2, 'number_static_methods': 2, 'NOC_type': 2, 'number_package_visibility_attributes': 2, 'isStatic_type': 1, 'FANOUT_type': 1, 'number_final_static_methods': 1, 'NOMNAMM_type': 1, 'LOC_package': 1, 'number_package_visibility_methods': 1, 'C3': 1, 'number_not_final_not_static_methods': 1, 'LCOM5_type': 1, 'number-committors': 1, 'number_protected_visibility_methods': 1, 'number_constructor_DefaultConstructor_methods': 1}"
complex-class,agreement,0.08493150684931507,all,2,"{'CBO': 254, 'C3': 213, 'RFC': 74, 'NIM_type': 15, 'NOCS_package': 6, 'is_procedural': 6, 'NOAM_type': 4, 'number_final_not_static_methods': 3, 'WOC_type': 2, 'LOC': 1, 'TCC_type': 1, 'num_static_not_final_attributes': 1, 'num_final_not_static_attributes': 1, 'number_constructor_NotDefaultConstructor_methods': 1}"
complex-class,entropy,0.8763916223190094,all,2,"{'CBO': 254, 'C3': 213, 'RFC': 74, 'NIM_type': 15, 'NOCS_package': 6, 'is_procedural': 6, 'NOAM_type': 4, 'number_final_not_static_methods': 3, 'WOC_type': 2, 'LOC': 1, 'TCC_type': 1, 'num_static_not_final_attributes': 1, 'num_final_not_static_attributes': 1, 'number_constructor_NotDefaultConstructor_methods': 1}"
complex-class,agreement,1.0,coupling,2,"{'CBO': 254, 'C3': 213, 'RFC': 74, 'NIM_type': 15, 'NOCS_package': 6, 'is_procedural': 6, 'NOAM_type': 4, 'number_final_not_static_methods': 3, 'WOC_type': 2, 'LOC': 1, 'TCC_type': 1, 'num_static_not_final_attributes': 1, 'num_final_not_static_attributes': 1, 'number_constructor_NotDefaultConstructor_methods': 1}"
