perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external
MEDIUM,927,0.74,5,0.52,4,6,0.72,4,9,7,4,16,0.1,1,6,0,6,0,0,0,0,3,0,1,61,0,0.333333,5,0.733333,0,0,28,62,0,3268,263,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
NON-SEVERE,901,0.43,4,0.49,7,34,0.35,5,29,5,3,17,0.46,0,0,0,7,0,2,1,7,3,32,3,34,2,1,0,1,0.571429,7,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,7,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,975,0.49,5,0.55,5,24,0.47,4,21,7,3,11,0.44,0,0,0,1,0,0,0,1,2,32,3,4,0,1,0,0,0.333333,1,20,72,0,701,72,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1036,0.13,9,0.44,8,48,0.11,4,71,5,1,16,0.83,0,0,0,4,0,0,2,4,1,32,3,35,3,1,0,1,0.5,8,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1100,0.69,7,0.51,2,7,0.84,4,10,5,1,17,0.2,0,0,0,2,1,4,2,2,1,25,2,16,3,0,0,1,0.5,3,20,72,0,701,72,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,1,2,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1097,0.05,13,0.55,10,48,0.03,2,174,6,2,8,0.74,0,0,0,4,1,1,3,4,3,31,3,43,10,1,0,1,0.5,11,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,961,0.72,6,0.51,3,16,0.79,9,7,7,4,9,0.11,0,0,0,4,2,0,0,4,1,0,1,26,0,1,0,0.333333,1,7,20,72,0,701,72,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1102,0.75,5,0.44,4,5,0.72,4,10,7,4,13,0.16,0,0,0,3,0,0,1,3,1,32,3,24,2,1,0,1,0.666667,4,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1056,0.72,3,0.51,1,5,0.75,3,5,5,4,18,0.1,0,0,0,6,3,5,3,6,1,30,3,44,5,0.2,0,0.6,1,14,20,72,0,701,72,0,0,0,0,1,0,0,0,1,0,0,4,0,0,3,0,0,7,0,0,0,0,7,6,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1003,0.74,7,0.51,2,19,0.82,2,3,3,3,7,0.1,0,0,0,2,0,0,1,2,1,32,3,15,1,1,0,1,0.5,2,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1109,0.56,6,0.43,11,23,0.46,9,18,7,4,7,0.48,0,0,0,6,3,2,5,6,7,30,3,70,13,0.2,0,0.9,1,30,20,72,0,701,72,0,0,3,0,4,0,3,0,4,0,3,3,0,0,3,0,0,6,0,0,0,0,6,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1100,0.09,19,0.52,8,57,0.07,8,152,5,2,15,0.73,0,0,0,1,0,5,1,1,9,2,2,32,1,1,0,0,0,1,223,1168,2,29751,1195,0,9,0,0,0,9,9,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,926,0.14,14,0.46,6,39,0.07,5,156,5,2,12,0.66,0,0,0,1,0,4,1,1,9,2,2,43,1,1,0,0,0,1,223,1168,2,29751,1195,0,9,0,0,0,9,9,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE
SEVERE,962,0.2,15,0.48,5,57,0.12,5,162,5,1,16,0.66,0,0,0,1,0,3,1,1,8,2,2,29,1,1,0,0,0,1,223,1168,2,29751,1195,0,8,0,0,0,8,8,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,1072,0.27,9,0.44,9,40,0.11,10,40,6,2,15,0.68,0,0,0,1,0,9,1,1,27,2,2,105,1,1,0,0,0,1,223,1168,2,29751,1195,0,27,0,0,0,27,27,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1086,0.33,19,0.49,8,69,0.08,7,108,6,3,6,0.78,1,3,0,14,0,0,3,11,4,0,1,174,5,0.076923,0,0.903846,0.785714,12,1,11,0,214,14,0,0,4,0,0,0,0,0,4,0,0,14,0,0,0,0,0,14,1,0,0,1,13,10,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,919,0.08,21,0.43,10,65,0.1,6,146,3,3,13,0.6,0,0,0,8,?,6,2,8,0,?,2,83,2,0,5,0,?,8,12,39,0,420,39,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,8,0,0,8,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,906,0.15,21,0.45,5,72,0.03,8,208,5,2,10,0.65,0,3,0,3,0,0,0,0,3,3,2,15,0,0,0,1,0,0,17,53,1,1024,73,0,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,990,0.12,15,0.47,5,39,0.06,3,39,5,4,9,0.88,0,3,0,3,0,0,0,0,3,3,2,16,0,0,0,1,0,0,17,53,1,1024,73,0,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
NON-SEVERE,1105,0.71,7,0.46,2,14,0.75,10,6,3,1,16,0.16,0,0,0,5,0,5,1,5,19,32,3,83,6,1,0,1,0.05,21,20,72,0,701,72,0,19,0,0,0,0,0,0,19,0,0,1,4,0,0,0,0,5,0,0,0,0,5,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,1065,0.75,5,0.55,0,7,0.77,6,5,6,3,15,0.19,0,0,0,3,0,0,2,3,1,32,3,20,2,1,0,1,0.5,3,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0,3,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,1010,0.69,4,0.54,2,5,0.86,4,10,5,1,11,0.1,0,0,0,5,1,4,3,5,1,25,2,49,6,0.1,0,0.75,0.5,8,40,171,0,1752,182,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,5,0,0,0,0,5,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
NON-SEVERE,1048,0.7,5,0.49,0,15,0.78,3,5,3,3,8,0.13,0,0,0,7,0,5,2,7,4,0,1,72,7,0.714286,1,0.708333,0.5,11,40,171,0,1752,182,0,4,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,8,1,0,0,1,7,7,1,0,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,915,0.06,8,0.48,11,42,0.03,8,187,7,1,11,0.59,1,12,0,65,?,14,20,53,14,?,1,1489,85,0.260652,2,0.926339,?,223,8,153,1,3146,195,0,0,14,0,0,3,2,2,11,1,0,52,7,6,0,51,4,10,0,0,51,0,14,52,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,976,0.71,6,0.52,4,13,0.7,4,6,4,1,15,0.13,1,6,0,6,0,0,0,0,3,0,1,26,0,0.2,0,0.8,0,0,7,35,1,1379,52,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1010,0.74,5,0.46,2,10,0.73,3,5,4,3,11,0.12,0,0,5,16,0,0,14,16,1,0,1,561,23,0.622222,0,0.866667,1,56,6,25,1,613,28,0,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,1043,0.41,5,0.52,6,30,0.43,7,31,4,4,8,0.52,1,0,0,1,0,0,0,1,0,0,1,6,0,1,?,0,?,1,6,25,1,613,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,974,0.44,3,0.53,6,27,0.47,2,24,4,2,13,0.45,1,7,0,10,0,0,1,3,4,0,1,21,2,0.133333,0,0.861111,0.3,3,17,102,6,2286,128,0,0,4,0,0,0,0,0,4,0,0,10,0,0,1,0,0,11,0,0,0,0,11,3,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1103,0.37,7,0.47,7,26,0.39,10,23,3,4,7,0.31,1,0,2,31,0,6,23,31,9,0,1,1142,47,0.405797,0,0.811111,1,138,38,247,0,5146,397,0,0,8,0,1,7,3,3,2,4,0,24,6,0,1,0,0,31,0,0,0,0,31,30,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1074,0.52,3,0.45,11,29,0.39,4,35,6,1,7,0.39,0,6,0,7,0,1,1,1,3,17,2,3,1,0.2,0,0.833333,0,1,38,247,0,5146,397,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,1024,0.5,4,0.53,8,26,0.43,10,34,6,4,14,0.46,0,7,0,8,0,0,0,1,4,0,1,3,0,0.142857,0,0.892857,0,1,38,247,0,5146,397,0,0,4,0,0,0,0,0,4,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1086,0.52,5,0.49,9,24,0.35,2,18,5,3,13,0.39,0,11,0,12,0,1,0,1,6,0,1,1,0,0.090909,0,0.924242,0,1,38,247,0,5146,397,0,0,6,0,0,0,0,0,6,0,0,0,0,0,12,0,0,12,0,0,0,0,12,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,1090,0.26,3,0.49,5,28,0.42,2,36,7,2,7,0.23,0,13,0,14,0,2,0,1,7,0,1,0,0,0.076923,0,0.934066,0,1,38,247,0,5146,397,0,0,7,0,0,0,0,0,7,0,0,0,0,0,14,0,0,14,0,0,0,0,14,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1004,0.64,6,0.45,7,22,0.49,3,22,5,3,11,0.38,0,9,0,10,0,0,0,1,5,0,1,2,0,0.111111,0,0.911111,0,1,38,247,0,5146,397,0,0,5,0,0,0,0,0,5,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1098,0.43,6,0.51,7,28,0.37,8,14,4,1,15,0.52,0,0,1,6,1,0,1,6,1,45,4,59,1,0,0,1,1,11,2,7,0,59,7,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1028,0.63,6,0.46,9,30,0.43,10,41,6,2,11,0.36,1,0,0,1,0,0,0,1,0,0,1,5,0,1,?,0,?,1,2,7,0,59,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,905,0.36,3,0.55,11,26,0.45,10,42,7,4,18,0.34,0,2,0,17,2,51,7,15,22,0,1,616,18,0.722222,0,0.825893,0.75,165,4,37,0,1180,39,0,3,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1075,0.53,4,0.47,8,22,0.48,7,27,3,3,8,0.39,0,0,0,8,1,13,4,8,5,0,1,125,8,0.5,0,0.892857,1,31,4,37,0,1180,39,0,0,0,0,5,3,0,0,2,3,0,5,3,0,0,0,0,8,0,0,0,0,8,6,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,997,0.3,5,0.48,10,27,0.46,8,22,3,1,12,0.52,1,2,0,65,1,65,24,63,155,0,1,2127,50,0.335994,0,0.945437,0.26,462,1,63,0,2137,65,0,146,9,0,0,15,25,15,130,0,10,54,11,0,0,0,0,65,8,0,0,8,57,62,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,957,0.21,7,0.48,5,22,0.49,9,33,5,4,13,0.35,0,0,0,16,0,127,18,16,15,0,1,590,26,1,0,1,1,95,3,30,0,1322,30,0,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1068,0.63,5,0.54,11,25,0.37,3,41,3,2,7,0.42,0,0,0,13,0,71,14,13,31,0,1,531,55,1,0,0.997312,0.2,51,3,30,0,1322,30,0,24,6,0,1,24,26,24,5,0,2,6,7,0,0,0,0,13,2,0,0,2,11,11,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1011,0.38,5,0.45,6,34,0.36,10,41,5,3,14,0.53,0,7,2,14,0,0,3,7,7,536,6,190,3,0.533333,0,0.868132,0.363636,9,80,263,0,5748,334,0,0,7,0,0,0,0,0,7,0,0,11,3,0,0,0,0,14,0,0,0,0,14,6,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1006,0.74,6,0.51,4,17,0.81,3,6,3,4,12,0.11,0,5,35,68,0,36,62,63,109,531,6,1826,103,0.219373,0,0.992743,0.348485,179,80,263,0,5748,334,0,38,70,0,1,42,48,42,61,0,6,28,40,0,0,0,0,68,22,0,0,22,46,62,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,982,0.59,7,0.53,7,27,0.46,2,14,3,3,7,0.29,1,13,12,59,1,6,19,46,32,50,2,957,32,0.120108,0,0.970905,0.652174,179,83,341,1,6130,466,0,5,27,0,0,2,2,2,30,0,0,41,18,0,0,0,0,59,0,0,0,0,59,44,0,2,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1085,0.36,5,0.53,8,27,0.48,10,23,3,2,16,0.52,1,0,0,2,0,0,1,2,0,0,1,12,1,0,0,0,1,2,4,12,0,148,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,920,0.53,3,0.5,7,29,0.5,4,22,5,1,13,0.39,1,0,0,4,0,0,2,4,4,0,1,29,2,1,0,0,1,4,4,12,0,148,12,0,0,4,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,0,0,0,4,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1024,0.42,3,0.52,11,22,0.4,2,17,3,4,7,0.34,0,5,0,9,0,1,3,4,4,0,1,38,4,0.642857,0,0.71875,0.375,4,24,253,17,3812,307,0,0,3,0,1,0,0,0,4,0,0,8,0,0,1,1,0,8,0,0,1,0,8,3,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1103,0.39,3,0.43,6,29,0.47,10,17,4,3,8,0.28,0,0,0,12,0,5,9,12,2,0,1,290,20,0.890909,0,0.863636,1,21,12,112,0,2820,121,0,0,1,1,0,1,1,1,1,0,0,11,0,1,0,0,0,12,0,0,0,0,12,11,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1008,0.64,3,0.52,11,23,0.41,6,23,4,4,17,0.29,0,1,0,2,0,1,5,1,1,0,1,30,7,1,0,1,0.5,2,12,112,0,2820,121,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,3,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,941,0.36,7,0.45,8,25,0.45,9,38,4,2,7,0.26,0,5,0,9,1,0,0,4,6,0,1,67,0,0.142857,0,0.9375,0.333333,5,12,112,0,2820,121,1,3,3,0,0,0,0,0,6,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,0,2,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,955,0.35,6,0.46,6,24,0.45,7,38,4,4,11,0.39,0,8,1,73,17,24,13,65,16,31,3,1706,67,0.471441,0,0.894965,0.875,221,26,281,1,5940,330,0,1,15,0,0,2,2,2,14,0,0,71,1,0,1,0,0,73,0,0,0,0,73,62,0,3,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,925,0.51,7,0.45,7,35,0.41,3,24,6,3,7,0.45,0,0,0,1,0,0,0,1,6,0,1,24,0,1,0,0,0.142857,1,5,27,1,796,30,0,6,0,0,0,3,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,976,0.66,6,0.47,9,23,0.37,9,27,6,3,11,0.54,0,2,0,9,1,3,3,7,3,0,1,93,6,0,0,1,0.75,8,5,34,1,707,39,0,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,4,0,3,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,1079,0.56,6,0.5,8,26,0.46,5,18,3,1,17,0.49,2,0,0,14,0,0,0,14,6,0,1,255,0,0.464286,0,0.846154,1,30,5,34,1,707,39,0,0,6,0,0,0,0,0,6,0,0,10,4,0,0,0,0,14,0,0,0,0,14,12,0,2,TRUE,FALSE,FALSE,FALSE,FALSE
MEDIUM,917,0.52,3,0.44,10,27,0.4,3,41,6,2,9,0.41,1,0,0,8,1,0,2,8,1,0,1,88,8,1,0,0.142857,1,10,16,130,3,1578,136,0,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,8,0,0,0,0,8,7,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,1109,0.38,19,0.47,6,45,0.07,8,150,4,1,13,0.69,1,8,0,9,0,0,1,1,2,0,1,11,1,1,0,0.1875,0.111111,2,51,386,15,14767,554,0,0,2,0,0,1,1,1,1,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,998,0.11,19,0.53,5,47,0.08,3,217,4,4,16,0.65,1,0,0,4,0,0,1,4,1,0,1,17,1,0.333333,0,0.666667,1,4,4,19,1,73,19,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,937,0.09,7,0.51,11,68,0.09,6,58,4,4,18,0.74,0,0,0,1,1,1,3,1,1,15,3,19,3,1,3,0,1,3,24,74,0,1128,75,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,997,0.3,9,0.52,10,70,0.04,10,215,4,1,13,0.66,0,4,0,5,0,0,0,1,2,0,1,3,0,0.333333,0,0.75,0.2,1,4,53,0,303,57,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,1073,0.29,16,0.52,6,40,0.03,10,94,7,2,15,0.77,0,10,0,11,0,0,0,1,4,0,1,23,0,0.177778,0,0.85,0.066667,1,22,180,0,3199,232,1,4,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,1074,0.06,20,0.49,8,71,0.12,3,183,3,4,11,0.61,0,6,3,7,0,0,0,1,3,0,1,65,0,0.2,0,0.833333,0.142857,1,22,180,0,3199,232,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,1089,0.35,18,0.42,5,69,0.12,2,173,7,1,9,0.77,0,8,0,8,0,0,0,0,4,0,1,18,0,0.142857,0,0.857143,0,0,22,180,0,3199,232,1,0,4,0,0,0,0,0,4,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
SEVERE,1091,0.37,15,0.45,9,57,0.05,7,75,5,3,6,0.62,0,12,0,13,0,0,0,1,6,0,1,30,0,0.090909,0,0.916667,0.076923,1,22,180,0,3199,232,1,0,6,0,0,0,0,0,6,0,0,13,0,0,0,0,0,13,0,0,0,0,13,0,0,1,FALSE,FALSE,TRUE,TRUE,FALSE
SEVERE,1021,0.29,8,0.47,11,42,0.11,10,136,3,4,16,0.85,0,10,0,10,0,0,0,0,4,4,2,48,0,0.2,0,0.833333,0,0,11,34,3,463,97,0,0,4,0,0,0,0,0,4,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,902,0.2,7,0.44,5,56,0.03,10,180,7,4,15,0.8,0,7,0,8,0,0,0,1,6,0,1,31,0,0.047619,0,0.97619,0.125,6,10,59,0,420,77,0,0,6,0,0,0,0,0,6,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1091,0.72,5,0.55,4,6,0.72,7,3,5,2,7,0.16,1,12,0,14,0,0,0,2,6,0,1,52,0,0.090909,0,0.923077,0.142857,2,17,92,0,1154,172,0,0,6,0,0,0,0,0,6,0,0,14,0,0,0,0,0,14,0,0,0,0,14,0,0,2,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,977,0.09,16,0.48,7,72,0.02,4,113,3,3,7,0.72,0,6,0,6,0,0,0,0,3,0,1,15,0,0.2,0,0.8,0,0,17,92,0,1154,172,0,0,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,893,0.05,14,0.41,7,62,0.12,9,180,4,4,8,0.72,1,12,0,13,0,0,0,1,6,0,1,57,0,0.151515,1,0.888889,0.076923,1,6,27,0,444,54,0,0,0,6,0,0,0,0,6,0,0,13,0,0,0,0,0,13,0,0,0,0,13,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,953,0.37,17,0.5,10,64,0.05,3,50,7,4,7,0.73,0,10,0,10,0,0,0,0,5,0,1,22,0,0.111111,0,0.888889,0,0,3,8,1,62,30,0,0,5,0,0,0,0,0,5,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,943,0.23,18,0.5,10,64,0.04,4,164,3,3,11,0.77,0,1,0,1,0,0,0,0,1,22,3,10,0,1,0,0,0,0,6,0,0,120,6,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1106,0.31,19,0.44,5,40,0.09,8,160,4,4,11,0.55,2,27,0,68,3,3,17,41,39,60,2,1078,35,0.129032,0,0.964791,0.458333,104,46,1076,5,33993,1556,0,12,26,1,0,13,13,13,26,0,0,60,3,5,0,0,0,68,0,0,0,0,68,38,0,3,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,1062,0.7,4,0.46,4,15,0.77,4,8,7,1,14,0.11,0,0,0,7,0,7,8,7,0,0,1,135,9,0,0,0,1,20,28,129,4,2768,165,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,1,7,6,0,1,0,7,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
SEVERE,1047,0.08,13,0.44,10,53,0.06,6,148,6,2,9,0.76,1,2,0,6,0,0,2,4,4,0,1,38,2,0.666667,0,0.85,0.666667,5,28,129,4,2768,165,0,0,4,0,0,1,1,1,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,2,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1009,0.25,13,0.47,11,54,0.1,2,106,6,4,13,0.65,0,4,0,5,0,0,0,1,2,0,1,8,0,0.333333,1,0.75,0.2,1,28,129,4,2768,165,0,0,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1043,0.05,8,0.55,6,58,0.08,5,39,7,2,9,0.7,2,7,2,56,1,14,15,49,29,0,1,1057,40,0.259958,0,0.971787,0.644068,114,248,1771,6,32688,2040,0,15,12,0,2,14,18,14,11,0,4,45,2,0,10,7,0,50,16,0,7,16,34,49,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1099,0.19,12,0.53,9,47,0.05,9,75,6,4,14,0.67,0,0,0,2,1,1,3,2,1,49,5,54,2,0,0,1,1,2,69,182,1,4524,247,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,1023,0.14,9,0.52,5,48,0.1,6,70,3,3,6,0.66,1,21,0,29,2,5,10,8,24,41,4,322,16,0.259259,0,0.96131,0.16,28,69,182,1,4524,247,0,0,19,5,0,2,2,2,22,0,0,25,0,4,0,0,0,29,0,0,0,0,29,7,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,1072,0.17,14,0.47,7,60,0.1,10,191,3,2,14,0.56,2,19,0,22,1,0,0,3,16,0,1,44,0,0.1,0,0.988095,0.107143,4,3,23,0,687,46,0,6,10,0,0,6,6,6,10,0,0,22,0,0,0,0,0,22,0,0,0,0,22,2,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
MEDIUM,938,0.59,7,0.41,11,35,0.38,9,24,5,1,11,0.28,2,0,0,8,?,2,13,8,10,?,1,155,14,0.047619,9,1,?,17,16,130,3,1578,136,0,9,0,1,0,8,8,8,2,0,0,7,0,1,0,0,3,5,1,0,0,1,7,7,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
