,smell,A,B,num,val,topA,topB,selected,selected_num
0,complex-class,selected_shap,selected_gain,3,0.75,"{'WMC', 'RFC', 'CBO'}","{'WMC', 'MPC', 'CBO'}","[""WMC"", ""CBO"", ""MPC"", ""NOCS_type"", ""NIM_type"", ""number_private_visibility_attributes"", ""number_protected_visibility_attributes"", ""isStatic_type"", ""NOI_package"", ""RFC"", ""number_package_visibility_methods"", ""is_controller"", ""WOC_type"", ""is_external"", ""is_procedural"", ""NOPA_type"", ""NOII_type"", ""NOCS_package"", ""number_constructor_NotDefaultConstructor_methods"", ""num_static_not_final_attributes"", ""number_private_visibility_methods"", ""NOAM_type"", ""LOC"", ""number-fixes"", ""number-committors"", ""number_constructor_DefaultConstructor_methods"", ""NOC_type"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""number_abstract_methods"", ""number_protected_visibility_methods"", ""is_test"", ""NMO_type"", ""LCOM5_type"", ""is_util"", ""persistance"", ""number_package_visibility_attributes"", ""number_final_not_static_methods"", ""num_final_not_static_attributes"", ""TCC_type"", ""number_final_static_methods""]",41
1,complex-class,selected_shap,selected_gain,10,0.6666666666666666,"{'number_constructor_NotDefaultConstructor_methods', 'NOAM_type', 'CBO', 'TCC_type', 'number_private_visibility_attributes', 'NIM_type', 'NOCS_package', 'WOC_type', 'WMC', 'RFC'}","{'CBO', 'NOI_package', 'NIM_type', 'number_private_visibility_attributes', 'NOCS_type', 'RFC', 'isStatic_type', 'WMC', 'MPC', 'number_protected_visibility_attributes'}","[""WMC"", ""CBO"", ""MPC"", ""NOCS_type"", ""NIM_type"", ""number_private_visibility_attributes"", ""number_protected_visibility_attributes"", ""isStatic_type"", ""NOI_package"", ""RFC"", ""number_package_visibility_methods"", ""is_controller"", ""WOC_type"", ""is_external"", ""is_procedural"", ""NOPA_type"", ""NOII_type"", ""NOCS_package"", ""number_constructor_NotDefaultConstructor_methods"", ""num_static_not_final_attributes"", ""number_private_visibility_methods"", ""NOAM_type"", ""LOC"", ""number-fixes"", ""number-committors"", ""number_constructor_DefaultConstructor_methods"", ""NOC_type"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""number_abstract_methods"", ""number_protected_visibility_methods"", ""is_test"", ""NMO_type"", ""LCOM5_type"", ""is_util"", ""persistance"", ""number_package_visibility_attributes"", ""number_final_not_static_methods"", ""num_final_not_static_attributes"", ""TCC_type"", ""number_final_static_methods""]",41
2,blob,selected_shap,selected_gain,3,0.75,"{'number.fixes', 'LOC', 'RFC'}","{'WMC', 'LOC', 'number.fixes'}","[""LOC"", ""WMC"", ""number-fixes"", ""CBO"", ""NOCS_package"", ""NOAM_type"", ""number_private_visibility_attributes"", ""LCOM5_type"", ""NOI_package"", ""number_constructor_NotDefaultConstructor_methods"", ""is_controller"", ""RFC"", ""num_static_not_final_attributes"", ""persistance"", ""is_util"", ""number_protected_visibility_attributes"", ""number_package_visibility_attributes"", ""DIT_type"", ""NMO_type"", ""MPC"", ""number_protected_visibility_methods"", ""is_external"", ""WOC_type"", ""Readability"", ""Avg-commit-size"", ""num_final_not_static_attributes"", ""number_not_final_static_methods"", ""is_procedural"", ""TCC_type"", ""number_package_visibility_methods"", ""is_test"", ""number_final_not_static_methods"", ""number_abstract_methods"", ""NOII_type"", ""number_final_static_methods"", ""number-changes"", ""isStatic_type"", ""number_private_visibility_methods"", ""NOCS_type"", ""number-committors"", ""NOPA_type"", ""NOC_type""]",42
3,blob,selected_shap,selected_gain,10,0.7142857142857143,"{'NOAM_type', 'CBO', 'TCC_type', 'LOC', 'NOCS_package', 'NOPA_type', 'number.fixes', 'WOC_type', 'WMC', 'RFC'}","{'number_constructor_NotDefaultConstructor_methods', 'NOAM_type', 'CBO', 'NOI_package', 'LOC', 'NOCS_package', 'number_private_visibility_attributes', 'number.fixes', 'WMC', 'LCOM5_type'}","[""LOC"", ""WMC"", ""number-fixes"", ""CBO"", ""NOCS_package"", ""NOAM_type"", ""number_private_visibility_attributes"", ""LCOM5_type"", ""NOI_package"", ""number_constructor_NotDefaultConstructor_methods"", ""is_controller"", ""RFC"", ""num_static_not_final_attributes"", ""persistance"", ""is_util"", ""number_protected_visibility_attributes"", ""number_package_visibility_attributes"", ""DIT_type"", ""NMO_type"", ""MPC"", ""number_protected_visibility_methods"", ""is_external"", ""WOC_type"", ""Readability"", ""Avg-commit-size"", ""num_final_not_static_attributes"", ""number_not_final_static_methods"", ""is_procedural"", ""TCC_type"", ""number_package_visibility_methods"", ""is_test"", ""number_final_not_static_methods"", ""number_abstract_methods"", ""NOII_type"", ""number_final_static_methods"", ""number-changes"", ""isStatic_type"", ""number_private_visibility_methods"", ""NOCS_type"", ""number-committors"", ""NOPA_type"", ""NOC_type""]",42
4,shotgun-surgery,selected_shap,selected_gain,3,0.75,"{'Avg.commit.size', 'is_test', 'persistance'}","{'Avg.commit.size', 'number_constructor_DefaultConstructor_methods', 'persistance'}","[""persistance"", ""Avg-commit-size"", ""number_constructor_DefaultConstructor_methods"", ""number_final_static_methods"", ""MPC"", ""LOCNAMM_type"", ""number_package_visibility_attributes"", ""LOC_package"", ""NMO_type"", ""number_constructor_NotDefaultConstructor_methods"", ""is_util"", ""NOI_package"", ""TCC_type"", ""is_test"", ""number_final_not_static_methods"", ""num_static_attributes"", ""Readability"", ""CFNAMM_type"", ""LCOM5_type"", ""num_final_static_attributes"", ""NOC_type"", ""WMC"", ""NOCS_package"", ""NOCS_type"", ""is_external"", ""number_package_visibility_methods"", ""number_not_final_static_methods"", ""number_public_visibility_methods"", ""num_not_final_not_static_attributes"", ""CBO"", ""NOA_type"", ""num_final_attributes"", ""number_standard_design_methods"", ""number_protected_visibility_attributes"", ""ATFD_type"", ""number_not_final_not_static_methods"", ""is_procedural"", ""C3"", ""isStatic_type"", ""number_private_visibility_methods"", ""number-committors"", ""NOAM_type"", ""number_protected_visibility_methods"", ""avg.dev.scattering"", ""DIT_type"", ""number_static_methods"", ""num_final_not_static_attributes"", ""number_private_visibility_attributes"", ""NOPA_type"", ""is_controller"", ""NOMNAMM_type"", ""NOM_package"", ""number_final_methods"", ""NOII_type"", ""NOM_type"", ""number_not_abstract_not_final_methods"", ""number_abstract_methods"", ""FANOUT_type"", ""WOC_type"", ""NIM_type"", ""NOMNAMM_package"", ""num_static_not_final_attributes"", ""WMCNAMM_type"", ""RFC"", ""number-fixes"", ""LOC""]",66
5,shotgun-surgery,selected_shap,selected_gain,10,0.625,"{'number_standard_design_methods', 'CBO', 'TCC_type', 'avg.dev.scattering', 'LOCNAMM_type', 'NOCS_package', 'persistance', 'is_test', 'Avg.commit.size', 'MPC'}","{'LOC_package', 'number_constructor_NotDefaultConstructor_methods', 'number_constructor_DefaultConstructor_methods', 'number_final_static_methods', 'LOCNAMM_type', 'persistance', 'number_package_visibility_attributes', 'NMO_type', 'Avg.commit.size', 'MPC'}","[""persistance"", ""Avg-commit-size"", ""number_constructor_DefaultConstructor_methods"", ""number_final_static_methods"", ""MPC"", ""LOCNAMM_type"", ""number_package_visibility_attributes"", ""LOC_package"", ""NMO_type"", ""number_constructor_NotDefaultConstructor_methods"", ""is_util"", ""NOI_package"", ""TCC_type"", ""is_test"", ""number_final_not_static_methods"", ""num_static_attributes"", ""Readability"", ""CFNAMM_type"", ""LCOM5_type"", ""num_final_static_attributes"", ""NOC_type"", ""WMC"", ""NOCS_package"", ""NOCS_type"", ""is_external"", ""number_package_visibility_methods"", ""number_not_final_static_methods"", ""number_public_visibility_methods"", ""num_not_final_not_static_attributes"", ""CBO"", ""NOA_type"", ""num_final_attributes"", ""number_standard_design_methods"", ""number_protected_visibility_attributes"", ""ATFD_type"", ""number_not_final_not_static_methods"", ""is_procedural"", ""C3"", ""isStatic_type"", ""number_private_visibility_methods"", ""number-committors"", ""NOAM_type"", ""number_protected_visibility_methods"", ""avg.dev.scattering"", ""DIT_type"", ""number_static_methods"", ""num_final_not_static_attributes"", ""number_private_visibility_attributes"", ""NOPA_type"", ""is_controller"", ""NOMNAMM_type"", ""NOM_package"", ""number_final_methods"", ""NOII_type"", ""NOM_type"", ""number_not_abstract_not_final_methods"", ""number_abstract_methods"", ""FANOUT_type"", ""WOC_type"", ""NIM_type"", ""NOMNAMM_package"", ""num_static_not_final_attributes"", ""WMCNAMM_type"", ""RFC"", ""number-fixes"", ""LOC""]",66
6,spaghetti-code,selected_shap,selected_gain,3,0.6,"{'number_abstract_methods', 'Readability', 'NOM_package'}","{'ATFD_type', 'Readability', 'RFC'}","[""Readability"", ""RFC"", ""ATFD_type"", ""NIM_type"", ""number-committors"", ""NOCS_package"", ""number_not_final_not_static_methods"", ""LOC"", ""MPC"", ""avg.dev.scattering"", ""DIT_type"", ""NOM_package"", ""NOPA_type"", ""is_controller"", ""NMO_type"", ""num_not_final_not_static_attributes"", ""num_final_not_static_attributes"", ""persistance"", ""Avg-commit-size"", ""is_test"", ""NOAM_type"", ""number_constructor_DefaultConstructor_methods"", ""number_constructor_NotDefaultConstructor_methods"", ""num_final_static_attributes"", ""is_procedural"", ""number_final_static_methods"", ""WOC_type"", ""NOC_type"", ""WMCNAMM_type"", ""number_package_visibility_attributes"", ""CBO"", ""number_protected_visibility_methods"", ""CFNAMM_type"", ""TCC_type"", ""isStatic_type"", ""NOI_package"", ""number_private_visibility_attributes"", ""is_external"", ""WMC"", ""number_final_methods"", ""number_abstract_methods"", ""LCOM5_type"", ""number_final_not_static_methods"", ""NOII_type"", ""is_util"", ""NOCS_type"", ""number-changes"", ""number_package_visibility_methods"", ""num_static_not_final_attributes"", ""number_protected_visibility_attributes"", ""number_private_visibility_methods""]",51
7,spaghetti-code,selected_shap,selected_gain,10,0.5555555555555556,"{'number_constructor_NotDefaultConstructor_methods', 'number_constructor_DefaultConstructor_methods', 'NOM_package', 'number_final_methods', 'NOC_type', 'NOCS_package', 'number_package_visibility_methods', 'number_final_not_static_methods', 'number_abstract_methods', 'Readability'}","{'number_not_final_not_static_methods', 'avg.dev.scattering', 'LOC', 'NIM_type', 'NOCS_package', 'RFC', 'MPC', 'number.committors', 'Readability', 'ATFD_type'}","[""Readability"", ""RFC"", ""ATFD_type"", ""NIM_type"", ""number-committors"", ""NOCS_package"", ""number_not_final_not_static_methods"", ""LOC"", ""MPC"", ""avg.dev.scattering"", ""DIT_type"", ""NOM_package"", ""NOPA_type"", ""is_controller"", ""NMO_type"", ""num_not_final_not_static_attributes"", ""num_final_not_static_attributes"", ""persistance"", ""Avg-commit-size"", ""is_test"", ""NOAM_type"", ""number_constructor_DefaultConstructor_methods"", ""number_constructor_NotDefaultConstructor_methods"", ""num_final_static_attributes"", ""is_procedural"", ""number_final_static_methods"", ""WOC_type"", ""NOC_type"", ""WMCNAMM_type"", ""number_package_visibility_attributes"", ""CBO"", ""number_protected_visibility_methods"", ""CFNAMM_type"", ""TCC_type"", ""isStatic_type"", ""NOI_package"", ""number_private_visibility_attributes"", ""is_external"", ""WMC"", ""number_final_methods"", ""number_abstract_methods"", ""LCOM5_type"", ""number_final_not_static_methods"", ""NOII_type"", ""is_util"", ""NOCS_type"", ""number-changes"", ""number_package_visibility_methods"", ""num_static_not_final_attributes"", ""number_protected_visibility_attributes"", ""number_private_visibility_methods""]",51
