,smell,A,B,num,val,topA,topB,selected,selected_num
0,spaghetti-code,selected_shap,selected_gain,3,0.6,"{'number_abstract_methods', 'Readability', 'NOM_package'}","{'number_final_not_static_methods', 'Readability', 'ATFD_type'}","[""Readability"", ""number_final_not_static_methods"", ""ATFD_type"", ""number_constructor_NotDefaultConstructor_methods"", ""RFC"", ""NOCS_package"", ""number-committors"", ""number_final_methods"", ""is_procedural"", ""avg.dev.scattering"", ""NOPA_type"", ""num_final_not_static_attributes"", ""NOII_type"", ""isStatic_type"", ""CBO"", ""number_private_visibility_methods"", ""NOI_package"", ""number_abstract_methods"", ""is_controller"", ""num_static_not_final_attributes"", ""MPC"", ""number_protected_visibility_methods"", ""LOC"", ""NOM_package"", ""number_final_static_methods"", ""persistance"", ""NIM_type"", ""number_constructor_DefaultConstructor_methods"", ""number_protected_visibility_attributes"", ""number_not_final_not_static_methods"", ""WMC"", ""NOC_type"", ""NOAM_type"", ""num_not_final_not_static_attributes"", ""NMO_type"", ""DIT_type"", ""WOC_type"", ""num_final_static_attributes"", ""number_package_visibility_attributes"", ""WMCNAMM_type"", ""number_private_visibility_attributes"", ""NOCS_type"", ""number_package_visibility_methods"", ""Avg-commit-size"", ""number-changes"", ""CFNAMM_type"", ""TCC_type"", ""LCOM5_type"", ""is_test"", ""is_util"", ""is_external""]",51
1,spaghetti-code,selected_shap,selected_gain,10,0.625,"{'number_constructor_DefaultConstructor_methods', 'NOM_package', 'NOC_type', 'NOCS_package', 'number_package_visibility_methods', 'number_final_not_static_methods', 'isStatic_type', 'number_abstract_methods', 'number.committors', 'Readability'}","{'is_procedural', 'number_constructor_NotDefaultConstructor_methods', 'number_final_methods', 'avg.dev.scattering', 'number.committors', 'NOCS_package', 'number_final_not_static_methods', 'ATFD_type', 'Readability', 'RFC'}","[""Readability"", ""number_final_not_static_methods"", ""ATFD_type"", ""number_constructor_NotDefaultConstructor_methods"", ""RFC"", ""NOCS_package"", ""number-committors"", ""number_final_methods"", ""is_procedural"", ""avg.dev.scattering"", ""NOPA_type"", ""num_final_not_static_attributes"", ""NOII_type"", ""isStatic_type"", ""CBO"", ""number_private_visibility_methods"", ""NOI_package"", ""number_abstract_methods"", ""is_controller"", ""num_static_not_final_attributes"", ""MPC"", ""number_protected_visibility_methods"", ""LOC"", ""NOM_package"", ""number_final_static_methods"", ""persistance"", ""NIM_type"", ""number_constructor_DefaultConstructor_methods"", ""number_protected_visibility_attributes"", ""number_not_final_not_static_methods"", ""WMC"", ""NOC_type"", ""NOAM_type"", ""num_not_final_not_static_attributes"", ""NMO_type"", ""DIT_type"", ""WOC_type"", ""num_final_static_attributes"", ""number_package_visibility_attributes"", ""WMCNAMM_type"", ""number_private_visibility_attributes"", ""NOCS_type"", ""number_package_visibility_methods"", ""Avg-commit-size"", ""number-changes"", ""CFNAMM_type"", ""TCC_type"", ""LCOM5_type"", ""is_test"", ""is_util"", ""is_external""]",51
2,blob,selected_shap,selected_gain,3,0.75,"{'number.fixes', 'LOC', 'RFC'}","{'number.fixes', 'WMC', 'LOC'}","[""LOC"", ""number-fixes"", ""WMC"", ""CBO"", ""NOCS_package"", ""NOAM_type"", ""NOI_package"", ""number_private_visibility_attributes"", ""ATFD_type"", ""DIT_type"", ""RFC"", ""num_final_static_attributes"", ""number_constructor_DefaultConstructor_methods"", ""number_abstract_methods"", ""is_test"", ""NOPA_type"", ""number_package_visibility_attributes"", ""number_constructor_NotDefaultConstructor_methods"", ""number-committors"", ""persistance"", ""NMO_type"", ""LCOM5_type"", ""WOC_type"", ""TCC_type"", ""NOII_type"", ""num_final_not_static_attributes"", ""num_static_not_final_attributes"", ""NOCS_type"", ""number_protected_visibility_methods"", ""is_procedural"", ""Readability"", ""number_final_static_methods"", ""is_external"", ""number_protected_visibility_attributes"", ""is_util"", ""is_controller"", ""number-changes"", ""MPC"", ""NOC_type"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""isStatic_type"", ""number_private_visibility_methods"", ""number_final_not_static_methods""]",44
3,blob,selected_shap,selected_gain,10,0.7142857142857143,"{'num_final_static_attributes', 'NOAM_type', 'CBO', 'TCC_type', 'LOC', 'NOCS_package', 'number.fixes', 'WOC_type', 'WMC', 'RFC'}","{'NOAM_type', 'CBO', 'NOI_package', 'DIT_type', 'LOC', 'NOCS_package', 'number_private_visibility_attributes', 'number.fixes', 'WMC', 'ATFD_type'}","[""LOC"", ""number-fixes"", ""WMC"", ""CBO"", ""NOCS_package"", ""NOAM_type"", ""NOI_package"", ""number_private_visibility_attributes"", ""ATFD_type"", ""DIT_type"", ""RFC"", ""num_final_static_attributes"", ""number_constructor_DefaultConstructor_methods"", ""number_abstract_methods"", ""is_test"", ""NOPA_type"", ""number_package_visibility_attributes"", ""number_constructor_NotDefaultConstructor_methods"", ""number-committors"", ""persistance"", ""NMO_type"", ""LCOM5_type"", ""WOC_type"", ""TCC_type"", ""NOII_type"", ""num_final_not_static_attributes"", ""num_static_not_final_attributes"", ""NOCS_type"", ""number_protected_visibility_methods"", ""is_procedural"", ""Readability"", ""number_final_static_methods"", ""is_external"", ""number_protected_visibility_attributes"", ""is_util"", ""is_controller"", ""number-changes"", ""MPC"", ""NOC_type"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""isStatic_type"", ""number_private_visibility_methods"", ""number_final_not_static_methods""]",44
4,complex-class,selected_shap,selected_gain,3,0.75,"{'WMC', 'RFC', 'CBO'}","{'NOI_package', 'WMC', 'CBO'}","[""WMC"", ""CBO"", ""NOI_package"", ""NOCS_package"", ""is_procedural"", ""number-committors"", ""num_final_not_static_attributes"", ""NOII_type"", ""number_public_visibility_methods"", ""num_static_not_final_attributes"", ""RFC"", ""number-fixes"", ""number_package_visibility_methods"", ""NOC_type"", ""number_private_visibility_attributes"", ""number_final_static_methods"", ""number_protected_visibility_methods"", ""is_test"", ""MPC"", ""num_final_attributes"", ""NOPA_type"", ""NOA_type"", ""isStatic_type"", ""persistance"", ""is_util"", ""is_controller"", ""WOC_type"", ""DIT_type"", ""WMCNAMM_type"", ""LOC"", ""Avg-commit-size"", ""NOAM_type"", ""NOCS_type"", ""NMO_type"", ""TCC_type"", ""LCOM5_type"", ""number_package_visibility_attributes"", ""number_private_visibility_methods"", ""number_final_methods"", ""number_abstract_methods"", ""number_constructor_DefaultConstructor_methods"", ""number_constructor_NotDefaultConstructor_methods"", ""is_external""]",43
5,complex-class,selected_shap,selected_gain,10,0.5882352941176471,"{'NOAM_type', 'CBO', 'TCC_type', 'DIT_type', 'number_private_visibility_attributes', 'WOC_type', 'number_public_visibility_methods', 'WMC', 'RFC', 'NOA_type'}","{'is_procedural', 'CBO', 'NOII_type', 'NOI_package', 'number.committors', 'NOCS_package', 'number_public_visibility_methods', 'num_final_not_static_attributes', 'WMC', 'num_static_not_final_attributes'}","[""WMC"", ""CBO"", ""NOI_package"", ""NOCS_package"", ""is_procedural"", ""number-committors"", ""num_final_not_static_attributes"", ""NOII_type"", ""number_public_visibility_methods"", ""num_static_not_final_attributes"", ""RFC"", ""number-fixes"", ""number_package_visibility_methods"", ""NOC_type"", ""number_private_visibility_attributes"", ""number_final_static_methods"", ""number_protected_visibility_methods"", ""is_test"", ""MPC"", ""num_final_attributes"", ""NOPA_type"", ""NOA_type"", ""isStatic_type"", ""persistance"", ""is_util"", ""is_controller"", ""WOC_type"", ""DIT_type"", ""WMCNAMM_type"", ""LOC"", ""Avg-commit-size"", ""NOAM_type"", ""NOCS_type"", ""NMO_type"", ""TCC_type"", ""LCOM5_type"", ""number_package_visibility_attributes"", ""number_private_visibility_methods"", ""number_final_methods"", ""number_abstract_methods"", ""number_constructor_DefaultConstructor_methods"", ""number_constructor_NotDefaultConstructor_methods"", ""is_external""]",43
6,shotgun-surgery,selected_shap,selected_gain,3,0.75,"{'Avg.commit.size', 'is_test', 'persistance'}","{'Avg.commit.size', 'RFC', 'persistance'}","[""Avg-commit-size"", ""persistance"", ""RFC"", ""number_constructor_NotDefaultConstructor_methods"", ""number_standard_design_methods"", ""NOI_package"", ""NOCS_package"", ""number_protected_visibility_attributes"", ""number_final_not_static_methods"", ""is_controller"", ""number_private_visibility_attributes"", ""number_not_final_static_methods"", ""MPC"", ""number-fixes"", ""num_final_not_static_attributes"", ""NOCS_type"", ""LOC_package"", ""FANOUT_type"", ""NOMNAMM_type"", ""isStatic_type"", ""NIM_type"", ""number_package_visibility_methods"", ""CBO"", ""number_package_visibility_attributes"", ""NOMNAMM_package"", ""num_static_not_final_attributes"", ""number_static_methods"", ""LOCNAMM_type"", ""is_external"", ""number_abstract_methods"", ""number_constructor_DefaultConstructor_methods"", ""C3"", ""number_final_static_methods"", ""LOC"", ""number-committors"", ""NOM_package"", ""number_not_final_not_static_methods"", ""WMC"", ""Readability"", ""ATFD_type"", ""DIT_type"", ""CFNAMM_type"", ""WOC_type"", ""WMCNAMM_type"", ""avg.dev.scattering"", ""NOII_type"", ""NOAM_type"", ""NOM_type"", ""NMO_type"", ""NOA_type"", ""TCC_type"", ""NOC_type"", ""LCOM5_type"", ""NOPA_type"", ""num_final_attributes"", ""num_static_attributes"", ""num_final_static_attributes"", ""num_not_final_not_static_attributes"", ""number_public_visibility_methods"", ""number_private_visibility_methods"", ""number_protected_visibility_methods"", ""number_final_methods"", ""number_not_abstract_not_final_methods"", ""is_procedural"", ""is_test"", ""is_util""]",66
7,shotgun-surgery,selected_shap,selected_gain,10,0.625,"{'number_constructor_NotDefaultConstructor_methods', 'CBO', 'TCC_type', 'avg.dev.scattering', 'NOCS_package', 'LOCNAMM_type', 'persistance', 'is_test', 'Avg.commit.size', 'MPC'}","{'number_constructor_NotDefaultConstructor_methods', 'number_standard_design_methods', 'NOI_package', 'NOCS_package', 'persistance', 'number_final_not_static_methods', 'Avg.commit.size', 'is_controller', 'RFC', 'number_protected_visibility_attributes'}","[""Avg-commit-size"", ""persistance"", ""RFC"", ""number_constructor_NotDefaultConstructor_methods"", ""number_standard_design_methods"", ""NOI_package"", ""NOCS_package"", ""number_protected_visibility_attributes"", ""number_final_not_static_methods"", ""is_controller"", ""number_private_visibility_attributes"", ""number_not_final_static_methods"", ""MPC"", ""number-fixes"", ""num_final_not_static_attributes"", ""NOCS_type"", ""LOC_package"", ""FANOUT_type"", ""NOMNAMM_type"", ""isStatic_type"", ""NIM_type"", ""number_package_visibility_methods"", ""CBO"", ""number_package_visibility_attributes"", ""NOMNAMM_package"", ""num_static_not_final_attributes"", ""number_static_methods"", ""LOCNAMM_type"", ""is_external"", ""number_abstract_methods"", ""number_constructor_DefaultConstructor_methods"", ""C3"", ""number_final_static_methods"", ""LOC"", ""number-committors"", ""NOM_package"", ""number_not_final_not_static_methods"", ""WMC"", ""Readability"", ""ATFD_type"", ""DIT_type"", ""CFNAMM_type"", ""WOC_type"", ""WMCNAMM_type"", ""avg.dev.scattering"", ""NOII_type"", ""NOAM_type"", ""NOM_type"", ""NMO_type"", ""NOA_type"", ""TCC_type"", ""NOC_type"", ""LCOM5_type"", ""NOPA_type"", ""num_final_attributes"", ""num_static_attributes"", ""num_final_static_attributes"", ""num_not_final_not_static_attributes"", ""number_public_visibility_methods"", ""number_private_visibility_methods"", ""number_protected_visibility_methods"", ""number_final_methods"", ""number_not_abstract_not_final_methods"", ""is_procedural"", ""is_test"", ""is_util""]",66
