smell,type,value,head,fea_num,features,approach
Blob,entropy,0.9830123816058913,all,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.0,coupling,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.9827586206896551,changehistory,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.0,cohesion,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.9767441860465116,size,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.3076923076923077,complexity,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.0,production,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Blob,agreement,0.0,testing,2,"{'number-fixes': 131, 'RFC': 109, 'LOC': 54, 'CBO': 34, 'WMC': 23, 'NOII_type': 1, 'MPC': 1, 'Readability': 1, 'TCC_type': 1, 'num_final_static_attributes': 1}",AS_Additive
Shotgun Surgery,agreement,0.10429447852760736,all,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
Shotgun Surgery,entropy,0.89263424695707,all,2,"{'Avg-commit-size': 288, 'persistance': 92, 'is_test': 72, 'avg.dev.scattering': 38, 'NOCS_package': 16, 'TCC_type': 15, 'LOCNAMM_type': 14, 'MPC': 8, 'CBO': 6, 'WMCNAMM_type': 5, 'number_constructor_NotDefaultConstructor_methods': 4, 'num_static_attributes': 4, 'CFNAMM_type': 4, 'number_constructor_DefaultConstructor_methods': 4, 'number_standard_design_methods': 2, 'WMC': 2, 'C3': 2, 'Readability': 2, 'WOC_type': 2, 'number_abstract_methods': 2, 'number_private_visibility_methods': 1, 'number_final_static_methods': 1, 'number_not_final_static_methods': 1, 'number_package_visibility_attributes': 1, 'NOMNAMM_package': 1, 'LOC': 1, 'number-committors': 1, 'number_static_methods': 1}",AS_Additive
