,smell,A,B,num,val,topA,topB,selected,selected_num
0,blob,selected_shap,selected_gain,3,0.6,"{'LOC', 'C3', 'RFC'}","{'WMC', 'LOC', 'CBO'}","[""LOC"", ""WMC"", ""CBO"", ""C3"", ""NOCS_package"", ""NOI_package"", ""RFC"", ""ATFD_type"", ""num_final_static_attributes"", ""number_protected_visibility_attributes"", ""NOAM_type"", ""is_test"", ""number_private_visibility_attributes"", ""Readability"", ""NOC_type"", ""number_constructor_NotDefaultConstructor_methods"", ""number_package_visibility_methods"", ""LCOM5_type"", ""is_controller"", ""num_final_not_static_attributes"", ""NOII_type"", ""NOCS_type"", ""NMO_type"", ""number_final_not_static_methods"", ""num_static_not_final_attributes"", ""number_final_static_methods"", ""number_package_visibility_attributes"", ""NOPA_type"", ""number_protected_visibility_methods"", ""TCC_type"", ""number_private_visibility_methods"", ""is_external"", ""is_util"", ""is_procedural"", ""number-changes"", ""persistance"", ""number_constructor_DefaultConstructor_methods"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""isStatic_type"", ""number_abstract_methods"", ""number-committors"", ""DIT_type"", ""MPC"", ""WOC_type""]",45
1,blob,selected_shap,selected_gain,10,0.7692307692307693,"{'num_final_static_attributes', 'NOAM_type', 'CBO', 'TCC_type', 'LOC', 'NOCS_package', 'WOC_type', 'C3', 'WMC', 'RFC'}","{'num_final_static_attributes', 'CBO', 'NOI_package', 'LOC', 'NOCS_package', 'ATFD_type', 'C3', 'WMC', 'RFC', 'number_protected_visibility_attributes'}","[""LOC"", ""WMC"", ""CBO"", ""C3"", ""NOCS_package"", ""NOI_package"", ""RFC"", ""ATFD_type"", ""num_final_static_attributes"", ""number_protected_visibility_attributes"", ""NOAM_type"", ""is_test"", ""number_private_visibility_attributes"", ""Readability"", ""NOC_type"", ""number_constructor_NotDefaultConstructor_methods"", ""number_package_visibility_methods"", ""LCOM5_type"", ""is_controller"", ""num_final_not_static_attributes"", ""NOII_type"", ""NOCS_type"", ""NMO_type"", ""number_final_not_static_methods"", ""num_static_not_final_attributes"", ""number_final_static_methods"", ""number_package_visibility_attributes"", ""NOPA_type"", ""number_protected_visibility_methods"", ""TCC_type"", ""number_private_visibility_methods"", ""is_external"", ""is_util"", ""is_procedural"", ""number-changes"", ""persistance"", ""number_constructor_DefaultConstructor_methods"", ""number_not_final_static_methods"", ""Avg-commit-size"", ""isStatic_type"", ""number_abstract_methods"", ""number-committors"", ""DIT_type"", ""MPC"", ""WOC_type""]",45
2,complex-class,selected_shap,selected_gain,3,0.75,"{'C3', 'RFC', 'CBO'}","{'NOI_package', 'C3', 'CBO'}","[""CBO"", ""C3"", ""NOI_package"", ""RFC"", ""is_test"", ""NIM_type"", ""is_controller"", ""num_final_not_static_attributes"", ""NOCS_package"", ""number_abstract_methods"", ""TCC_type"", ""number_package_visibility_attributes"", ""number_package_visibility_methods"", ""NOPA_type"", ""number_final_not_static_methods"", ""num_static_not_final_attributes"", ""number_constructor_DefaultConstructor_methods"", ""WOC_type"", ""number_final_static_methods"", ""number_private_visibility_attributes"", ""NOC_type"", ""MPC"", ""is_external"", ""persistance"", ""number_not_final_static_methods"", ""NOII_type"", ""is_procedural"", ""isStatic_type"", ""NMO_type"", ""LOC"", ""NOAM_type"", ""number_private_visibility_methods"", ""number-fixes"", ""NOCS_type"", ""number-committors"", ""number_constructor_NotDefaultConstructor_methods"", ""LCOM5_type"", ""Avg-commit-size"", ""is_util"", ""ATFD_type"", ""number_protected_visibility_attributes""]",41
3,complex-class,selected_shap,selected_gain,10,0.6666666666666666,"{'number_constructor_NotDefaultConstructor_methods', 'NOAM_type', 'CBO', 'TCC_type', 'NIM_type', 'number_private_visibility_attributes', 'NOCS_package', 'WOC_type', 'C3', 'RFC'}","{'CBO', 'NOI_package', 'NIM_type', 'NOCS_package', 'C3', 'is_test', 'is_controller', 'number_abstract_methods', 'num_final_not_static_attributes', 'RFC'}","[""CBO"", ""C3"", ""NOI_package"", ""RFC"", ""is_test"", ""NIM_type"", ""is_controller"", ""num_final_not_static_attributes"", ""NOCS_package"", ""number_abstract_methods"", ""TCC_type"", ""number_package_visibility_attributes"", ""number_package_visibility_methods"", ""NOPA_type"", ""number_final_not_static_methods"", ""num_static_not_final_attributes"", ""number_constructor_DefaultConstructor_methods"", ""WOC_type"", ""number_final_static_methods"", ""number_private_visibility_attributes"", ""NOC_type"", ""MPC"", ""is_external"", ""persistance"", ""number_not_final_static_methods"", ""NOII_type"", ""is_procedural"", ""isStatic_type"", ""NMO_type"", ""LOC"", ""NOAM_type"", ""number_private_visibility_methods"", ""number-fixes"", ""NOCS_type"", ""number-committors"", ""number_constructor_NotDefaultConstructor_methods"", ""LCOM5_type"", ""Avg-commit-size"", ""is_util"", ""ATFD_type"", ""number_protected_visibility_attributes""]",41
4,spaghetti-code,selected_shap,selected_gain,3,0.6,"{'number_constructor_DefaultConstructor_methods', 'C3', 'NOM_package'}","{'number_private_visibility_methods', 'C3', 'RFC'}","[""C3"", ""number_private_visibility_methods"", ""RFC"", ""number_final_static_methods"", ""num_static_not_final_attributes"", ""NOM_package"", ""number_protected_visibility_attributes"", ""number_final_methods"", ""LOC"", ""is_controller"", ""NOCS_package"", ""number_abstract_methods"", ""TCC_type"", ""is_util"", ""NOPA_type"", ""NOAM_type"", ""DIT_type"", ""ATFD_type"", ""is_procedural"", ""isStatic_type"", ""is_external"", ""number_protected_visibility_methods"", ""number_package_visibility_methods"", ""NOI_package"", ""is_test"", ""number-committors"", ""WMCNAMM_type"", ""CBO"", ""number_final_not_static_methods"", ""persistance"", ""number_constructor_DefaultConstructor_methods"", ""NOII_type"", ""avg.dev.scattering"", ""WMC"", ""NIM_type"", ""number-changes"", ""NMO_type"", ""num_not_final_not_static_attributes"", ""number_package_visibility_attributes"", ""NOCS_type"", ""number_constructor_NotDefaultConstructor_methods"", ""LCOM5_type"", ""Avg-commit-size"", ""WOC_type"", ""CFNAMM_type"", ""NOC_type"", ""num_final_not_static_attributes"", ""number_private_visibility_attributes"", ""MPC"", ""num_final_static_attributes"", ""number_not_final_not_static_methods""]",51
5,spaghetti-code,selected_shap,selected_gain,10,0.6666666666666666,"{'number_constructor_DefaultConstructor_methods', 'number_final_methods', 'LOC', 'NOC_type', 'NOCS_package', 'number_final_not_static_methods', 'C3', 'number_abstract_methods', 'NOM_package', 'number_protected_visibility_attributes'}","{'number_final_static_methods', 'number_final_methods', 'LOC', 'is_controller', 'C3', 'num_static_not_final_attributes', 'number_private_visibility_methods', 'NOM_package', 'RFC', 'number_protected_visibility_attributes'}","[""C3"", ""number_private_visibility_methods"", ""RFC"", ""number_final_static_methods"", ""num_static_not_final_attributes"", ""NOM_package"", ""number_protected_visibility_attributes"", ""number_final_methods"", ""LOC"", ""is_controller"", ""NOCS_package"", ""number_abstract_methods"", ""TCC_type"", ""is_util"", ""NOPA_type"", ""NOAM_type"", ""DIT_type"", ""ATFD_type"", ""is_procedural"", ""isStatic_type"", ""is_external"", ""number_protected_visibility_methods"", ""number_package_visibility_methods"", ""NOI_package"", ""is_test"", ""number-committors"", ""WMCNAMM_type"", ""CBO"", ""number_final_not_static_methods"", ""persistance"", ""number_constructor_DefaultConstructor_methods"", ""NOII_type"", ""avg.dev.scattering"", ""WMC"", ""NIM_type"", ""number-changes"", ""NMO_type"", ""num_not_final_not_static_attributes"", ""number_package_visibility_attributes"", ""NOCS_type"", ""number_constructor_NotDefaultConstructor_methods"", ""LCOM5_type"", ""Avg-commit-size"", ""WOC_type"", ""CFNAMM_type"", ""NOC_type"", ""num_final_not_static_attributes"", ""number_private_visibility_attributes"", ""MPC"", ""num_final_static_attributes"", ""number_not_final_not_static_methods""]",51
6,shotgun-surgery,selected_shap,selected_gain,3,0.75,"{'Avg.commit.size', 'is_test', 'persistance'}","{'Avg.commit.size', 'number.fixes', 'persistance'}","[""persistance"", ""Avg-commit-size"", ""number-fixes"", ""CBO"", ""NOCS_type"", ""is_external"", ""MPC"", ""NOI_package"", ""number_package_visibility_attributes"", ""number_not_abstract_not_final_methods"", ""number_final_static_methods"", ""number_not_final_static_methods"", ""number_private_visibility_methods"", ""number_not_final_not_static_methods"", ""is_procedural"", ""is_test"", ""num_static_not_final_attributes"", ""FANOUT_type"", ""LOC"", ""number_final_not_static_methods"", ""num_not_final_not_static_attributes"", ""NOC_type"", ""NOM_package"", ""number_constructor_NotDefaultConstructor_methods"", ""avg.dev.scattering"", ""NOMNAMM_package"", ""NOCS_package"", ""number_protected_visibility_methods"", ""TCC_type"", ""NOII_type"", ""Readability"", ""LOCNAMM_type"", ""NIM_type"", ""num_final_not_static_attributes"", ""CFNAMM_type"", ""NOAM_type"", ""number_public_visibility_methods"", ""ATFD_type"", ""number_final_methods"", ""number_abstract_methods"", ""num_static_attributes"", ""DIT_type"", ""NOMNAMM_type"", ""is_controller"", ""number-committors"", ""number_protected_visibility_attributes"", ""WOC_type"", ""NOA_type"", ""C3"", ""NMO_type"", ""WMCNAMM_type"", ""NOPA_type"", ""isStatic_type"", ""number_private_visibility_attributes"", ""WMC"", ""number_static_methods"", ""LCOM5_type"", ""num_final_static_attributes"", ""number_constructor_DefaultConstructor_methods"", ""NOM_type"", ""LOC_package"", ""is_util"", ""RFC"", ""number_package_visibility_methods"", ""number_standard_design_methods"", ""num_final_attributes""]",66
7,shotgun-surgery,selected_shap,selected_gain,10,0.5882352941176471,"{'number_constructor_NotDefaultConstructor_methods', 'TCC_type', 'avg.dev.scattering', 'NOCS_package', 'LOCNAMM_type', 'persistance', 'CFNAMM_type', 'is_test', 'Avg.commit.size', 'MPC'}","{'CBO', 'number_not_abstract_not_final_methods', 'NOI_package', 'NOCS_type', 'persistance', 'number.fixes', 'number_package_visibility_attributes', 'Avg.commit.size', 'MPC', 'is_external'}","[""persistance"", ""Avg-commit-size"", ""number-fixes"", ""CBO"", ""NOCS_type"", ""is_external"", ""MPC"", ""NOI_package"", ""number_package_visibility_attributes"", ""number_not_abstract_not_final_methods"", ""number_final_static_methods"", ""number_not_final_static_methods"", ""number_private_visibility_methods"", ""number_not_final_not_static_methods"", ""is_procedural"", ""is_test"", ""num_static_not_final_attributes"", ""FANOUT_type"", ""LOC"", ""number_final_not_static_methods"", ""num_not_final_not_static_attributes"", ""NOC_type"", ""NOM_package"", ""number_constructor_NotDefaultConstructor_methods"", ""avg.dev.scattering"", ""NOMNAMM_package"", ""NOCS_package"", ""number_protected_visibility_methods"", ""TCC_type"", ""NOII_type"", ""Readability"", ""LOCNAMM_type"", ""NIM_type"", ""num_final_not_static_attributes"", ""CFNAMM_type"", ""NOAM_type"", ""number_public_visibility_methods"", ""ATFD_type"", ""number_final_methods"", ""number_abstract_methods"", ""num_static_attributes"", ""DIT_type"", ""NOMNAMM_type"", ""is_controller"", ""number-committors"", ""number_protected_visibility_attributes"", ""WOC_type"", ""NOA_type"", ""C3"", ""NMO_type"", ""WMCNAMM_type"", ""NOPA_type"", ""isStatic_type"", ""number_private_visibility_attributes"", ""WMC"", ""number_static_methods"", ""LCOM5_type"", ""num_final_static_attributes"", ""number_constructor_DefaultConstructor_methods"", ""NOM_type"", ""LOC_package"", ""is_util"", ""RFC"", ""number_package_visibility_methods"", ""number_standard_design_methods"", ""num_final_attributes""]",66
